time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mME_xx,mME_yy,mME_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
0.346875,0.0015625,-0.00062683680096462,-0.00065858677045757,68.382947290289,-9.7228973686524e-05,-9.722916930245e-05,0.00032409162520076,-0.00078028442556989,-0.00082458401056794,0.0017345019183496,-0.00078028442556989,-0.00082458401056794,0.0017345019183496,1609870,81880,267,9
0.3484375,0.0015625,-0.00063168003082783,-0.00066342232620775,68.456233321246,-9.7333187913303e-05,-9.7333383481947e-05,0.000324438966123,-0.00078402869203506,-0.00082850720723917,0.001742308294002,-0.00078402869203506,-0.00082850720723917,0.001742308294002,1609870,81880,296,9
0.35,0.0015625,-0.00063653565821045,-0.0006682744254285,68.529435201318,-9.7437282529507e-05,-9.7437478076414e-05,0.00032478590826703,-0.00078777311181124,-0.00083243034929846,0.0017501146087708,-0.00078777311181124,-0.00083243034929846,0.0017501146087708,1609870,81880,274,9
0.3515625,0.0015625,-0.00064140384434627,-0.00067314055843569,68.602553161695,-9.7541257868177e-05,-9.7541453402434e-05,0.00032513245272519,-0.00079151768364399,-0.00083635343752238,0.001757920862621,-0.00079151768364399,-0.00083635343752238,0.001757920862621,1609870,81880,292,9
0.353125,0.0015625,-0.00064628474471537,-0.00067801397503847,68.675587432593,-9.7645114266967e-05,-9.7645309755116e-05,0.00032547860057919,-0.00079526240636702,-0.00084027647262924,0.0017657270555534,-0.00079526240636702,-0.00084027647262924,0.0017657270555534,1609870,81880,287,9
0.3546875,0.0015625,-0.00065117870139726,-0.00068290020151104,68.748538241764,-9.7748852043461e-05,-9.7749047483983e-05,0.00032582435291676,-0.00079900727917312,-0.00084419945500228,0.0017735331875647,-0.00079900727917312,-0.00084419945500228,0.0017735331875647,1609870,81880,301,9
0.35625,0.0015625,-0.00065608525237392,-0.00068780011830494,68.82140581327,-9.7852471512787e-05,-9.7852666912435e-05,0.00032616971080039,-0.00080275230073442,-0.00084812238554746,0.0017813392586571,-0.00080275230073442,-0.00084812238554746,0.0017813392586571,1609870,81880,329,9
0.3578125,0.0015625,-0.00066095857455274,-0.00069276347713887,68.894190322899,-9.7955972636972e-05,-9.7956168591348e-05,0.00032651467506879,-0.00080649746960862,-0.00085204526490822,0.0017891452683573,-0.00080649746960862,-0.00085204526490822,0.0017891452683573,1609870,81880,210,8
0.359375,0.0015625,-0.0006659108656063,-0.00069750167392541,68.966892165802,-9.8059356919924e-05,-9.8059551555236e-05,0.00032685924734391,-0.00081024278666223,-0.00085596809207552,0.0017969512176065,-0.00081024278666223,-0.00085596809207552,0.0017969512176065,1609870,81880,215,8
0.3609375,0.0015625,-0.00067086860707029,-0.00070253198804361,69.039511328324,-9.8162623258331e-05,-9.8162818340773e-05,0.00032720342819195,-0.00081398824893331,-0.00085989087038504,0.0018047571059112,-0.00081398824893331,-0.00085989087038504,0.0018047571059112,1609870,81880,212,8
0.3625,0.0015625,-0.00067582450353007,-0.00070750786281923,69.112048143415,-9.8265772583741e-05,-9.8265967789272e-05,0.0003275472186878,-0.00081773385600647,-0.00086381359890543,0.0018125629332267,-0.00081773385600647,-0.00086381359890543,0.0018125629332267,1609870,81880,239,8
0.3640625,0.0015625,-0.00068079631500785,-0.00071245454679399,69.184502838697,-9.8368805268057e-05,-9.8369000318774e-05,0.00032789061997135,-0.00082147960720123,-0.0008677362782703,0.0018203686998561,-0.00082147960720123,-0.0008677362782703,0.0018203686998561,1609870,81880,217,8
0.365625,0.0015625,-0.00068578083093332,-0.00071740347147034,69.256875558206,-9.8471721456168e-05,-9.8471916287602e-05,0.00032823363276539,-0.00082522550136138,-0.00087165890900447,0.0018281744053875,-0.00082522550136138,-0.00087165890900447,0.0018281744053875,1609870,81880,230,8
0.3671875,0.0015625,-0.0006907752834346,-0.00072243250263006,69.329166511429,-9.8574521322092e-05,-9.857471636657e-05,0.0003285762581695,-0.00082897153722647,-0.00087558149228155,0.0018359800499889,-0.00082897153722647,-0.00087558149228155,0.0018359800499889,1609870,81880,238,8
0.36875,0.0015625,-0.00069578631650415,-0.00072740505693553,69.401375934566,-9.8677205427342e-05,-9.8677400234748e-05,0.00032891849711838,-0.00083271771401202,-0.00087950402802287,0.0018437856334912,-0.00083271771401202,-0.00087950402802287,0.0018437856334912,1609870,81880,238,8
0.3703125,0.0015625,-0.00070080941846479,-0.00073248855355161,69.473504015846,-9.8779773780125e-05,-9.877996895963e-05,0.00032926035073573,-0.00083646403067199,-0.00088342651758253,0.0018515911562505,-0.00083646403067199,-0.00088342651758253,0.0018515911562505,1609870,81880,228,8
0.371875,0.0015625,-0.00070584788807964,-0.00073750861530665,69.545550945694,-9.8882226914748e-05,-9.888242198084e-05,0.00032960181968078,-0.00084021048654085,-0.00088734896054546,0.0018593966178715,-0.00084021048654085,-0.00088734896054546,0.0018593966178715,1609870,81880,246,8
0.3734375,0.0015625,-0.00071089826153665,-0.00074253836709104,69.617516954358,-9.8984565038194e-05,-9.8984759977233e-05,0.00032994290514383,-0.00084395708099948,-0.00089127135745772,0.0018672020185856,-0.00084395708099948,-0.00089127135745772,0.0018672020185856,1609870,81880,241,8
0.375,0.0015625,-0.00071595628167956,-0.00074755799185522,69.689402232332,-9.9086788429308e-05,-9.9086983131787e-05,0.00033028360799343,-0.00084770381301022,-0.00089519370901923,0.0018750073584618,-0.00084770381301022,-0.00089519370901923,0.0018750073584618,1609870,81880,252,8
0.3765625,0.0015625,-0.00072103519598104,-0.00075263866080257,69.761206909794,-9.9188897234768e-05,-9.9189091948059e-05,0.00033062392896659,-0.0008514506814422,-0.00089911601601868,0.0018828126372447,-0.0008514506814422,-0.00089911601601868,0.0018828126372447,1609870,81880,243,8
0.378125,0.0015625,-0.0007261113812231,-0.00075769535821687,69.832931243968,-9.9290891829214e-05,-9.9291086422437e-05,0.00033096386912792,-0.00085519768583023,-0.00090303827845715,0.0018906178551637,-0.00085519768583023,-0.00090303827845715,0.0018906178551637,1609870,81880,236,8
0.3796875,0.0015625,-0.00073121565616498,-0.00076274667754994,69.904575381434,-9.9392772540679e-05,-9.9392966807635e-05,0.00033130342924234,-0.00085894482548065,-0.00090696049664495,0.0018984230120196,-0.00085894482548065,-0.00090696049664495,0.0018984230120196,1609870,81880,251,8
0.38125,0.0015625,-0.0007363268801006,-0.00076790546745959,69.976139495601,-9.9494539355071e-05,-9.9494733915088e-05,0.00033164261026211,-0.00086269209898326,-0.0009108826720355,0.0019062281080107,-0.00086269209898326,-0.0009108826720355,0.0019062281080107,1609870,81880,225,8
0.3828125,0.0015625,-0.00074145441181266,-0.00077301136164927,70.047623790675,-9.9596192835099e-05,-9.9596387261805e-05,0.00033198141294032,-0.00086643950536078,-0.00091480480470582,0.00191403314291,-0.00086643950536078,-0.00091480480470582,0.00191403314291,1609870,81880,245,8
0.384375,0.0015625,-0.00074659251146939,-0.00077812317286321,70.119028462243,-9.9697733148021e-05,-9.969792741276e-05,0.00033231983827938,-0.0008701870438975,-0.00091872689529847,0.0019218381169146,-0.0008701870438975,-0.00091872689529847,0.0019218381169146,1609870,81880,253,8
0.3859375,0.0015625,-0.00075174928841931,-0.00078327468239884,70.190353660965,-9.9799160498451e-05,-9.9799354730736e-05,0.00033265788705287,-0.00087393471374584,-0.00092264894441441,0.0019296430299839,-0.00087393471374584,-0.00092264894441441,0.0019296430299839,1609870,81880,233,8
